strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
LASV_H-sapiens-tc_NGA_2011_IRR_001_MK107897_2011-08-02	Mammarenavirus lassaense	S	Homo sapiens	MK107897	2011-08-02	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107897	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_010_MK107898_2012-05-28	Mammarenavirus lassaense	S	Homo sapiens	MK107898	2012-05-28	Nigeria: Delta	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107898	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_014_MK107899_2013-11-23	Mammarenavirus lassaense	S	Homo sapiens	MK107899	2013-11-23	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107899	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_016_MK107900_2013-12-08	Mammarenavirus lassaense	S	Homo sapiens	MK107900	2013-12-08	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107900	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_008_MK107901_2013-03-06	Mammarenavirus lassaense	S	Homo sapiens	MK107901	2013-03-06	Nigeria: Taraba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107901	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_005_MK107902_2014-05-14	Mammarenavirus lassaense	S	Homo sapiens	MK107902	2014-05-14	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107902	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_006_MK107903_2014-05-14	Mammarenavirus lassaense	S	Homo sapiens	MK107903	2014-05-14	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107903	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_007_MK107904_2014-05-14	Mammarenavirus lassaense	S	Homo sapiens	MK107904	2014-05-14	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107904	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_008_MK107905_2014-05-15	Mammarenavirus lassaense	S	Homo sapiens	MK107905	2014-05-15	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107905	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_009_MK107906_2014-05-17	Mammarenavirus lassaense	S	Homo sapiens	MK107906	2014-05-17	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107906	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_010_MK107907_2014-05-17	Mammarenavirus lassaense	S	Homo sapiens	MK107907	2014-05-17	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107907	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_011_MK107908_2014-08-01	Mammarenavirus lassaense	S	Homo sapiens	MK107908	2014-08-01	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107908	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_012_MK107909_2014-08-10	Mammarenavirus lassaense	S	Homo sapiens	MK107909	2014-08-10	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107909	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_002_MK107910_2014-01-20	Mammarenavirus lassaense	S	Homo sapiens	MK107910	2014-01-20	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107910	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_009_MK107911_2015-04-25	Mammarenavirus lassaense	S	Homo sapiens	MK107911	2015-04-25	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107911	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_010_MK107913_2015-07-02	Mammarenavirus lassaense	S	Homo sapiens	MK107913	2015-07-02	Nigeria: Kogi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107913	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_014_MK107914_2015-12-30	Mammarenavirus lassaense	S	Homo sapiens	MK107914	2015-12-30	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107914	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_011_MK107915_2015-09-16	Mammarenavirus lassaense	S	Homo sapiens	MK107915	2015-09-16	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107915	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_012_MK107916_2015-11-06	Mammarenavirus lassaense	S	Homo sapiens	MK107916	2015-11-06	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107916	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_012_MK107917_2016-01-25	Mammarenavirus lassaense	S	Homo sapiens	MK107917	2016-01-25	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107917	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_014_MK107918_2016-01-28	Mammarenavirus lassaense	S	Homo sapiens	MK107918	2016-01-28	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107918	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_019_MK107919_2016-02-12	Mammarenavirus lassaense	S	Homo sapiens	MK107919	2016-02-12	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107919	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_028_MK107920_2016-02-29	Mammarenavirus lassaense	S	Homo sapiens	MK107920	2016-02-29	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107920	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_025_MK107921_2016-02-26	Mammarenavirus lassaense	S	Homo sapiens	MK107921	2016-02-26	Nigeria: Benue	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107921	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_007_MK107922_2016-01-18	Mammarenavirus lassaense	S	Homo sapiens	MK107922	2016-01-18	Nigeria: Cross River	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107922	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_018_MK107923_2016-02-09	Mammarenavirus lassaense	S	Homo sapiens	MK107923	2016-02-09	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107923	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_021_MK107924_2016-02-18	Mammarenavirus lassaense	S	Homo sapiens	MK107924	2016-02-18	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107924	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_026_MK107925_2016-02-26	Mammarenavirus lassaense	S	Homo sapiens	MK107925	2016-02-26	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107925	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_027_MK107926_2016-02-28	Mammarenavirus lassaense	S	Homo sapiens	MK107926	2016-02-28	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107926	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_006_MK107927_2016-01-14	Mammarenavirus lassaense	S	Homo sapiens	MK107927	2016-01-14	Nigeria: Ekiti	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107927	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_013_MK107928_2016-01-27	Mammarenavirus lassaense	S	Homo sapiens	MK107928	2016-01-27	Nigeria: Imo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107928	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_023_MK107929_2016-02-23	Mammarenavirus lassaense	S	Homo sapiens	MK107929	2016-02-23	Nigeria: Kaduna	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107929	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_016_MK107930_2016-02-06	Mammarenavirus lassaense	S	Homo sapiens	MK107930	2016-02-06	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107930	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_008_MK107931_2016-01-20	Mammarenavirus lassaense	S	Homo sapiens	MK107931	2016-01-20	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107931	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_011_MK107932_2016-01-24	Mammarenavirus lassaense	S	Homo sapiens	MK107932	2016-01-24	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107932	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_015_MK107933_2016-02-03	Mammarenavirus lassaense	S	Homo sapiens	MK107933	2016-02-03	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107933	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_032_MK107934_2016-03-13	Mammarenavirus lassaense	S	Homo sapiens	MK107934	2016-03-13	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107934	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_020_MK107935_2016-02-15	Mammarenavirus lassaense	S	Homo sapiens	MK107935	2016-02-15	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107935	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_017_MK107936_2016-02-06	Mammarenavirus lassaense	S	Homo sapiens	MK107936	2016-02-06	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107936	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_033_MK107937_2016-03-14	Mammarenavirus lassaense	S	Homo sapiens	MK107937	2016-03-14	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107937	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_029_MK107938_2016-03-01	Mammarenavirus lassaense	S	Homo sapiens	MK107938	2016-03-01	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107938	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_009_MK107939_2016-01-20	Mammarenavirus lassaense	S	Homo sapiens	MK107939	2016-01-20	Nigeria: Plateau	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107939	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_003_MK107940_2016-01-04	Mammarenavirus lassaense	S	Homo sapiens	MK107940	2016-01-04	Nigeria: Plateau	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107940	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_010_MK107941_2016-01-22	Mammarenavirus lassaense	S	Homo sapiens	MK107941	2016-01-22	Nigeria: Taraba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107941	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_004_MK107942_2016-01-05	Mammarenavirus lassaense	S	Homo sapiens	MK107942	2016-01-05	Nigeria: Taraba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107942	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2017_IRR_015_MK107943_2017-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MK107943	2017-XX-XX	Nigeria: unknown	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107943	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2017_IRR_016_MK107944_2017-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MK107944	2017-XX-XX	Nigeria: unknown	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107944	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_015_MK107945_2013-12-04	Mammarenavirus lassaense	S	Homo sapiens	MK107945	2013-12-04	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107945	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2013_IRR_011_MK107946_2013-03-18	Mammarenavirus lassaense	S	Homo sapiens	MK107946	2013-03-18	Nigeria: Rivers	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107946	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_003_MK107947_2014-04-07	Mammarenavirus lassaense	S	Homo sapiens	MK107947	2014-04-07	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107947	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2014_IRR_004_MK107948_2014-05-08	Mammarenavirus lassaense	S	Homo sapiens	MK107948	2014-05-08	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107948	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_015_MK107949_2015-12-30	Mammarenavirus lassaense	S	Homo sapiens	MK107949	2015-12-30	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107949	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_006_MK107950_2015-02-22	Mammarenavirus lassaense	S	Homo sapiens	MK107950	2015-02-22	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107950	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2015_IRR_001_MK107951_2015-01-08	Mammarenavirus lassaense	S	Homo sapiens	MK107951	2015-01-08	Nigeria: Plateau	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107951	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2015_IRR_007_MK107952_2015-02-25	Mammarenavirus lassaense	S	Homo sapiens	MK107952	2015-02-25	Nigeria: Taraba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107952	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_005_MK107953_2016-01-08	Mammarenavirus lassaense	S	Homo sapiens	MK107953	2016-01-08	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107953	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_031_MK107954_2016-03-11	Mammarenavirus lassaense	S	Homo sapiens	MK107954	2016-03-11	Nigeria: Bauchi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107954	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_022_MK107955_2016-02-20	Mammarenavirus lassaense	S	Homo sapiens	MK107955	2016-02-20	Nigeria: Kogi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107955	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_024_MK107956_2016-02-24	Mammarenavirus lassaense	S	Homo sapiens	MK107956	2016-02-24	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107956	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2016_IRR_030_MK107957_2016-03-01	Mammarenavirus lassaense	S	Homo sapiens	MK107957	2016-03-01	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107957	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_001_MK107958_2012-02-08	Mammarenavirus lassaense	S	Homo sapiens	MK107958	2012-02-08	Nigeria: Tararba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107958	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_002_MK107959_2012-02-10	Mammarenavirus lassaense	S	Homo sapiens	MK107959	2012-02-10	Nigeria: Tararba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107959	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_003_MK107960_2012-02-10	Mammarenavirus lassaense	S	Homo sapiens	MK107960	2012-02-10	Nigeria: Tararba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107960	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_005_MK107961_2013-01-25	Mammarenavirus lassaense	S	Homo sapiens	MK107961	2013-01-25	Nigeria: Ebonyi	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107961	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_007_MK107962_2013-02-03	Mammarenavirus lassaense	S	Homo sapiens	MK107962	2013-02-03	Nigeria: Enugu	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107962	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_001_MK107963_2013-01-16	Mammarenavirus lassaense	S	Homo sapiens	MK107963	2013-01-16	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107963	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_006_MK107964_2013-01-30	Mammarenavirus lassaense	S	Homo sapiens	MK107964	2013-01-30	Nigeria: Ondo	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107964	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_002_MK107965_2013-01-17	Mammarenavirus lassaense	S	Homo sapiens	MK107965	2013-01-17	Nigeria: Benue	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107965	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_004_MK107966_2012-02-10	Mammarenavirus lassaense	S	Homo sapiens	MK107966	2012-02-10	Nigeria: Rivers	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107966	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_006_MK107967_2012-02-21	Mammarenavirus lassaense	S	Homo sapiens	MK107967	2012-02-21	Nigeria: Rivers	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107967	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_003_MK107968_2013-01-18	Mammarenavirus lassaense	S	Homo sapiens	MK107968	2013-01-18	Nigeria: Nasarawa	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107968	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2012_IRR_005_MK107969_2012-02-10	Mammarenavirus lassaense	S	Homo sapiens	MK107969	2012-02-10	Nigeria: Tararba	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107969	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
LASV_H-sapiens-tc_NGA_2013_IRR_004_MK107970_2013-01-23	Mammarenavirus lassaense	S	Homo sapiens	MK107970	2013-01-23	Nigeria: Plateau	Nigeria	BioProject: PRJNA482054	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/MK107970	Phylogeography of Lassa virus in Nigeria	Unpublished	MISSING
